ParName   Value   Gradient
Mest     0.188021 5.64266e-005
mean_log_rec     -2.52555   4.648e-007
log_Rzero     -2.72631 -3.1469e-006
rec_dev(1963)    -0.732825 2.14594e-006
rec_dev(1964)    -0.814813 -3.46536e-006
rec_dev(1965)    -0.881466 4.71089e-007
rec_dev(1966)    -0.882657 3.73937e-006
rec_dev(1967)    -0.796638 1.53397e-008
rec_dev(1968)    -0.277135 -6.6799e-006
rec_dev(1969)   -0.0647204 8.18658e-006
rec_dev(1970)     0.059317 6.91296e-006
rec_dev(1971)      0.13615 -5.84225e-006
rec_dev(1972)   -0.0796546 5.66246e-007
rec_dev(1973)      1.08863 1.95058e-006
rec_dev(1974)     0.489184 -4.60716e-007
rec_dev(1975)     0.895961 2.12947e-007
rec_dev(1976)     0.509921 4.80082e-007
rec_dev(1977)     0.563553 7.34199e-006
rec_dev(1978)     0.499691 7.69131e-006
rec_dev(1979)      2.96569 -2.15884e-005
rec_dev(1980)    -0.363828 2.39307e-005
rec_dev(1981)    -0.209691 1.65141e-006
rec_dev(1982)      1.54409 -1.13752e-005
rec_dev(1983)     0.621035 -4.05589e-006
rec_dev(1984)      1.95952 8.87723e-006
rec_dev(1985)     0.411027 -4.57942e-006
rec_dev(1986)     0.371765 -3.93754e-006
rec_dev(1987)       1.1807 -2.46742e-005
rec_dev(1988)     0.539376 -3.40373e-006
rec_dev(1989)    -0.108946 -1.84973e-006
rec_dev(1990)      1.19222 3.10393e-005
rec_dev(1991)    -0.472613 2.64819e-006
rec_dev(1992)   -0.0959756  1.1004e-006
rec_dev(1993)    -0.185371 4.09721e-006
rec_dev(1994)     0.631198 -1.10152e-006
rec_dev(1995)    -0.779976 -5.51789e-006
rec_dev(1996)   -0.0995551 -1.55175e-006
rec_dev(1997)    -0.524992  4.7658e-007
rec_dev(1998)    -0.756901 7.20614e-007
rec_dev(1999)    -0.552137 -8.2645e-006
rec_dev(2000)     0.357594 -9.72356e-006
rec_dev(2001)     0.560887 -1.54778e-005
rec_dev(2002)    -0.931338 -5.65863e-006
rec_dev(2003)     -1.01867 1.99081e-006
rec_dev(2004)    -0.909212 -4.22315e-006
rec_dev(2005)     -1.21383 -2.82333e-006
rec_dev(2006)    -0.576818 -1.08076e-005
rec_dev(2007)     0.173973 -2.79681e-006
rec_dev(2008)     -0.57601 -7.9865e-006
rec_dev(2009)    -0.949673 -1.11384e-006
rec_dev(2010)     0.477361 1.23557e-005
rec_dev(2011)    -0.430433 -4.93875e-006
rec_dev(2012)     0.711142 9.25673e-008
rec_dev(2013) -1.86188e-009 1.03267e-007
fmort(1,1978)    0.0219698 1.33354e-005
fmort(1,1979)    0.0351122  -1.905e-005
fmort(1,1980)     0.165817 -8.06315e-006
fmort(1,1981)     0.117614 -8.54138e-006
fmort(1,1982)     0.143177  2.8425e-005
fmort(1,1983)     0.104968 -1.00937e-005
fmort(1,1984)    0.0853149 -4.21596e-005
fmort(1,1985)    0.0805233 3.26569e-005
fmort(1,1986)    0.0470914 3.59988e-005
fmort(1,1987)     0.048686 1.85784e-005
fmort(1,1988)    0.0735089 1.14135e-005
fmort(1,1989)    0.0214515 2.55605e-005
fmort(1,1990)     0.174639 1.24748e-007
fmort(1,1991)     0.192039 -1.20859e-005
fmort(1,1992)     0.122971 -1.86025e-005
fmort(1,1993)     0.154738 -2.41796e-005
fmort(1,1994)     0.203832 -8.80788e-006
fmort(1,1995)     0.222572 6.64885e-006
fmort(1,1996)     0.142958 1.32035e-005
fmort(1,1997)     0.114434 1.11156e-005
fmort(1,1998)     0.144922 -1.33689e-006
fmort(1,1999)   0.00504518  9.2721e-006
fmort(1,2000)    0.0057956 -1.53207e-005
fmort(1,2001)   0.00375478 -1.14673e-005
fmort(1,2002)   0.00544123 -1.1732e-005
fmort(1,2003)   0.00775261 -1.08684e-005
fmort(1,2004)     0.005402 1.77823e-005
fmort(1,2005)   0.00710081 -1.94239e-005
fmort(1,2006)   0.00645776 -4.98487e-006
fmort(1,2007)   0.00988699 1.34524e-005
fmort(1,2008)   0.00512804 7.21141e-006
fmort(1,2009)    0.0077643 7.88099e-007
fmort(1,2010)   0.00644959 -1.92396e-005
fmort(1,2011)   0.00621765 -4.17812e-005
fmort(1,2012)   0.00495523 -6.01065e-005
fmort(1,2013)    0.0146821 -4.42117e-005
log_selcoffs_fsh[1](1,1)     -3.15717 9.66034e-008
log_selcoffs_fsh[1](1,2)     -2.44709 3.81131e-008
log_selcoffs_fsh[1](1,3)     -1.49427 3.98711e-008
log_selcoffs_fsh[1](1,4)    -0.435151  3.9868e-007
log_selcoffs_fsh[1](1,5)    0.0723122 4.93296e-007
log_selcoffs_fsh[1](1,6)     0.429011 2.04297e-007
log_selcoffs_fsh[1](1,7)      0.68573 2.01862e-007
log_selcoffs_fsh[1](1,8)     0.876876 -1.64954e-006
log_selcoffs_fsh[1](2,1)     -3.19952 -2.30676e-007
log_selcoffs_fsh[1](2,2)     -2.46477 -4.62275e-007
log_selcoffs_fsh[1](2,3)     -1.63556  3.3201e-009
log_selcoffs_fsh[1](2,4)    -0.735155 -6.36089e-007
log_selcoffs_fsh[1](2,5)    0.0358798 -9.49009e-007
log_selcoffs_fsh[1](2,6)     0.473518 -2.51211e-007
log_selcoffs_fsh[1](2,7)     0.741517 -5.70936e-008
log_selcoffs_fsh[1](2,8)     0.899607 2.57086e-006
log_selcoffs_fsh[1](3,1)     -3.20995 6.97128e-008
log_selcoffs_fsh[1](3,2)     -2.44295 4.57272e-008
log_selcoffs_fsh[1](3,3)      -1.6459 -1.22659e-007
log_selcoffs_fsh[1](3,4)    -0.853765 4.81842e-007
log_selcoffs_fsh[1](3,5)    -0.119645 4.51749e-008
log_selcoffs_fsh[1](3,6)     0.481913 -2.76979e-007
log_selcoffs_fsh[1](3,7)     0.794849 2.41773e-007
log_selcoffs_fsh[1](3,8)     0.929633 -7.40291e-007
log_selcoffs_fsh[1](4,1)     -3.17634 1.61215e-008
log_selcoffs_fsh[1](4,2)     -2.40737 -3.99902e-008
log_selcoffs_fsh[1](4,3)     -1.62296 2.36942e-008
log_selcoffs_fsh[1](4,4)    -0.858277 -9.14259e-008
log_selcoffs_fsh[1](4,5)    -0.173096 2.04287e-007
log_selcoffs_fsh[1](4,6)     0.386588 -1.98273e-007
log_selcoffs_fsh[1](4,7)     0.781527 -1.90886e-007
log_selcoffs_fsh[1](4,8)      1.01131 3.86258e-007
rec_dev_future(2014)            0            0
rec_dev_future(2015)            0            0
rec_dev_future(2016)            0            0
rec_dev_future(2017)            0            0
rec_dev_future(2018)            0            0
log_selcoffs_ind[1](1,1)    -0.573751 8.95271e-008
log_selcoffs_ind[1](1,2)    -0.817053 -1.49988e-008
log_selcoffs_ind[1](1,3)    -0.779314 1.16208e-007
log_selcoffs_ind[1](1,4)    -0.489732 -6.68678e-007
