
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
174.218 69.6872 60.9763 0.128356 0.0455739 82.8099 
CV Recruit
1.34775 
Alternative 1 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 61.2639 61.2639 61.2639 61.2639 1.11555e-012 
2023  0 38.0719 40.258 24.554 24.5784 24.6098 24.7727 0.0894129 
2024  0 38.0719 40.258 20.0074 20.1067 20.1881 20.6222 0.242166 
2025  0 38.0719 40.258 19.1342 19.4993 19.7917 21.3919 0.921332 
2026  0 38.0719 40.258 18.7022 20.5155 22.2001 32.5682 4.57588 
2027  0 38.0719 40.258 17.0864 22.4425 25.5373 41.9915 9.05992 
2028  0 38.0719 40.258 15.0305 25.6696 29.2799 54.7314 14.0185 
2029  0 38.0719 40.258 13.2209 28.818 32.6104 65.5665 17.4355 
2030  0 38.0719 40.258 12.1706 31.8488 35.0437 70.0348 19.395 
2031  0 38.0719 40.258 12.6419 32.9216 36.3684 72.6836 20.426 
2032  0 38.0719 40.258 12.6244 33.4729 37.1613 74.1933 20.7329 
2033  0 38.0719 40.258 12.1638 34.0959 37.283 74.0917 20.7438 
2034  0 38.0719 40.258 12.283 34.8061 37.1947 73.4673 20.1712 
2035  0 38.0719 40.258 12.5206 33.8434 36.9351 73.3558 19.8537 
2036  0 38.0719 40.258 12.3422 33.3168 36.6776 73.4768 19.7828 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 74.9803 74.9803 74.9803 74.9803 4.40536e-013 
2023 174.218 69.6872 60.9763 54.782 54.782 54.782 54.782 9.02389e-013 
2024 174.218 69.6872 60.9763 50.8431 50.8466 50.8511 50.8746 0.0128836 
2025 174.218 69.6872 60.9763 50.3519 50.5065 50.6995 51.7031 0.552362 
2026 174.218 69.6872 60.9763 48.5876 50.9998 53.7787 68.3273 8.16349 
2027 174.218 69.6872 60.9763 45.0546 53.1836 58.696 90.9922 17.6124 
2028 174.218 69.6872 60.9763 41.7339 57.1359 64.0969 115.738 25.2874 
2029 174.218 69.6872 60.9763 39.3738 60.9529 68.4803 123.933 28.593 
2030 174.218 69.6872 60.9763 38.801 63.3557 71.6179 130.832 31.122 
2031 174.218 69.6872 60.9763 39.5778 64.2934 73.4309 133.461 32.9751 
2032 174.218 69.6872 60.9763 39.5154 65.4695 74.2545 135.018 33.1198 
2033 174.218 69.6872 60.9763 38.9189 66.0296 74.4069 133.511 32.4275 
2034 174.218 69.6872 60.9763 39.4913 66.76 74.3163 135.853 31.3965 
2035 174.218 69.6872 60.9763 39.6149 65.7491 73.8268 135.9 31.3937 
2036 174.218 69.6872 60.9763 39.1558 65.0155 73.3118 133.579 31.4849 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.441588 0.441588 0.441588 0.441588 5.66214e-015 
2023  0 0.305473 0.37995 0.236698 0.236698 0.236698 0.236698 1.77636e-015 
