
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
182.55 73.0198 63.8923 0.227488 0.0785663 81.8256 
CV Recruit
1.37677 
Alternative 1 Alternative  Stock: ai22_2
Catch ai22_2
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 45.8016 48.8559 3 3 3 3 5.01821e-014 
2023  0 45.8016 48.8559 51.8837 51.9302 51.9923 52.3156 0.177621 
2024  0 45.8016 48.8559 32.8357 33.0008 33.1411 33.8753 0.414831 
2025  0 45.8016 48.8559 28.9416 29.5434 30.0364 32.7003 1.57189 
2026  0 45.8016 48.8559 27.2801 30.1513 32.4896 44.9044 6.12521 
2027  0 45.8016 48.8559 23.7088 31.8364 35.6187 56.8831 12.1575 
2028  0 45.8016 48.8559 19.5592 34.7246 39.1147 74.0759 19.1055 
2029  0 45.8016 48.8559 16.1718 37.1795 42.1002 87.1629 23.7319 
2030  0 45.8016 48.8559 14.3007 39.022 43.9745 91.6331 26.1398 
2031  0 45.8016 48.8559 14.9208 39.8522 45.0356 93.6349 27.0925 
2032  0 45.8016 48.8559 14.2872 40.1571 45.3466 94.179 27.5678 
2033  0 45.8016 48.8559 13.927 40.2555 45.2168 93.8441 27.1847 
2034  0 45.8016 48.8559 13.5173 40.5156 44.7565 92.8359 26.3653 
2035  0 45.8016 48.8559 14.2195 39.0876 44.2444 92.0792 25.7631 
2036  0 45.8016 48.8559 13.9221 38.684 43.5058 91.7011 25.8091 

Spawning_Biomass ai22_2
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 182.55 73.0198 63.8923 78.2401 78.2401 78.2401 78.2401 1.23634e-012 
2023 182.55 73.0198 63.8923 73.3914 73.3914 73.3914 73.3914 2.84217e-014 
2024 182.55 73.0198 63.8923 60.9645 60.9698 60.9769 61.0136 0.0201893 
2025 182.55 73.0198 63.8923 59.0813 59.3007 59.5851 61.0617 0.817607 
2026 182.55 73.0198 63.8923 55.7191 58.9854 62.8545 83.4141 11.4805 
2027 182.55 73.0198 63.8923 49.4973 59.9079 67.4562 111.537 23.7093 
2028 182.55 73.0198 63.8923 43.8369 62.1734 72.1487 136.556 32.5495 
2029 182.55 73.0198 63.8923 40.2445 65.4774 75.7863 146.317 35.7033 
2030 182.55 73.0198 63.8923 39.1952 66.5143 78.0542 151.171 38.0835 
2031 182.55 73.0198 63.8923 39.168 68.2804 79.0063 152.664 39.6548 
2032 182.55 73.0198 63.8923 38.6657 68.3206 79.1434 152.083 39.2717 
2033 182.55 73.0198 63.8923 38.6925 68.9194 78.7569 148.67 37.9462 
