ParName   Value   Gradient
Mest     0.190599  0.000190556
mean_log_rec      -2.4957 -1.3697e-006
log_Rzero     -2.75257 -1.28743e-005
rec_dev(1963)    -0.722071 -1.87938e-006
rec_dev(1964)     -0.80454 -4.17933e-006
rec_dev(1965)    -0.871985 -3.41822e-007
rec_dev(1966)    -0.874209 -8.05599e-007
rec_dev(1967)    -0.789013 -3.12209e-007
rec_dev(1968)     -0.26905 -6.17326e-007
rec_dev(1969)   -0.0596948 -7.85022e-007
rec_dev(1970)    0.0619501 1.44392e-006
rec_dev(1971)     0.136096 5.98207e-006
rec_dev(1972)   -0.0807624 2.64378e-006
rec_dev(1973)      1.08591 -5.71117e-006
rec_dev(1974)     0.485469 -3.23012e-006
rec_dev(1975)     0.890924 -8.03664e-006
rec_dev(1976)     0.504728 -2.41679e-006
rec_dev(1977)     0.558891 -6.0126e-006
rec_dev(1978)     0.488276 -1.93449e-006
rec_dev(1979)      3.01153 -5.14993e-005
rec_dev(1980)    -0.342554 9.23365e-006
rec_dev(1981)    -0.180156 1.44701e-006
rec_dev(1982)      1.58975 -2.07487e-005
rec_dev(1983)     0.653313 -2.90971e-006
rec_dev(1984)      2.01029 -1.82234e-005
rec_dev(1985)     0.440983 -3.88352e-006
rec_dev(1986)     0.404879 -4.37934e-006
rec_dev(1987)      1.22492 -1.49034e-005
rec_dev(1988)     0.572438 -1.03858e-005
rec_dev(1989)    -0.083984 -5.74151e-006
rec_dev(1990)      1.21925 -2.36194e-005
rec_dev(1991)    -0.457841 -4.15286e-006
rec_dev(1992)   -0.0869384 -9.70345e-006
rec_dev(1993)    -0.184478 -7.71579e-006
rec_dev(1994)     0.619929 -1.25135e-005
rec_dev(1995)    -0.794531 -3.32273e-006
rec_dev(1996)    -0.125392 -1.34732e-005
rec_dev(1997)    -0.558569 -5.29911e-006
rec_dev(1998)    -0.789964 -9.0103e-006
rec_dev(1999)    -0.590206 -1.12701e-005
rec_dev(2000)     0.307666 -2.09104e-005
rec_dev(2001)     0.507202 -3.25605e-005
rec_dev(2002)    -0.985077 -8.65548e-006
rec_dev(2003)      -1.0747 -7.23296e-006
rec_dev(2004)    -0.980154 -8.01165e-006
rec_dev(2005)     -1.28171 -4.56598e-006
rec_dev(2006)    -0.666343 -1.60414e-005
rec_dev(2007)    0.0479215 -1.33859e-005
rec_dev(2008)    -0.683095 -5.2411e-006
rec_dev(2009)     -1.03985 -1.43033e-006
rec_dev(2010)     0.345624 2.03804e-006
rec_dev(2011)    -0.646689 -8.31245e-008
rec_dev(2012)     0.516641 2.81763e-006
rec_dev(2013)   -0.0249827 2.61039e-006
rec_dev(2014)  -0.00766929 -1.44517e-007
fmort(1,1978)    0.0219434 7.65443e-005
fmort(1,1979)      0.03501 2.30547e-005
fmort(1,1980)     0.164954 -1.66068e-005
fmort(1,1981)     0.116844 -3.82916e-005
fmort(1,1982)      0.14207 1.41315e-005
fmort(1,1983)     0.104194 -3.1875e-006
fmort(1,1984)    0.0847675 -3.62999e-007
fmort(1,1985)    0.0800309 1.27767e-006
fmort(1,1986)    0.0468028 -1.77908e-005
fmort(1,1987)    0.0484353 -1.02829e-005
fmort(1,1988)    0.0732109 -8.15431e-006
fmort(1,1989)    0.0213936 1.72905e-005
fmort(1,1990)     0.174029 3.02813e-006
fmort(1,1991)     0.191612 8.21151e-006
fmort(1,1992)      0.12297 5.60218e-006
fmort(1,1993)     0.155145 4.56267e-006
fmort(1,1994)     0.205175 3.03741e-006
fmort(1,1995)     0.225422 4.87153e-006
fmort(1,1996)     0.145881 -1.90194e-006
fmort(1,1997)      0.11778 -5.56333e-006
fmort(1,1998)     0.150719 5.56008e-006
fmort(1,1999)    0.0052858 -6.69955e-005
fmort(1,2000)   0.00610026 -3.49123e-005
fmort(1,2001)   0.00397221 -2.59746e-005
fmort(1,2002)   0.00578099 -1.00089e-005
fmort(1,2003)   0.00827864 2.80699e-006
fmort(1,2004)     0.005798 1.27322e-005
fmort(1,2005)   0.00766499 5.81193e-006
fmort(1,2006)   0.00701358 -4.05197e-006
fmort(1,2007)    0.0108075 -1.64883e-005
fmort(1,2008)   0.00563578 -2.36521e-005
fmort(1,2009)    0.0085766 -1.88027e-005
fmort(1,2010)   0.00716823 -3.77387e-005
