
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
182.55 73.0198 63.8923 0.227488 0.0785663 81.8256 
CV Recruit
1.37677 
Alternative 1 Alternative  Stock: ai22_2
Catch ai22_2
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 45.8016 48.8559 3 3 3 3 5.01821e-014 
2023  0 45.8016 48.8559 1.67 1.67 1.67 1.67 3.58997e-007 
2024  0 45.8016 48.8559 51.628 51.8268 51.9918 52.8604 0.4919 
2025  0 45.8016 48.8559 38.3601 39.0484 39.6046 42.6465 1.72111 
2026  0 45.8016 48.8559 31.2583 34.2985 36.4965 47.656 5.8643 
2027  0 45.8016 48.8559 25.2794 33.5096 37.1972 57.9492 12.0631 
2028  0 45.8016 48.8559 20.1448 35.311 39.6844 74.5209 19.1095 
2029  0 45.8016 48.8559 16.3846 37.3284 42.3011 87.4369 23.7253 
2030  0 45.8016 48.8559 14.3856 39.1495 44.0317 91.6465 26.1391 
2031  0 45.8016 48.8559 14.9607 39.8661 45.0525 93.6045 27.0796 
2032  0 45.8016 48.8559 14.3008 40.1468 45.3544 94.1379 27.5588 
2033  0 45.8016 48.8559 13.9238 40.2566 45.222 93.8535 27.1822 
2034  0 45.8016 48.8559 13.5181 40.5194 44.7741 92.8404 26.3464 
2035  0 45.8016 48.8559 14.2461 39.0887 44.2361 92.0824 25.7816 
2036  0 45.8016 48.8559 13.9191 38.6883 43.5102 91.7062 25.8077 

Spawning_Biomass ai22_2
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 182.55 73.0198 63.8923 78.2401 78.2401 78.2401 78.2401 1.23634e-012 
2023 182.55 73.0198 63.8923 77.4734 77.4735 77.4736 77.4742 0.00034184 
2024 182.55 73.0198 63.8923 77.8673 77.8733 77.8813 77.9228 0.022789 
2025 182.55 73.0198 63.8923 67.1315 67.351 67.6355 69.1114 0.820846 
2026 182.55 73.0198 63.8923 59.2744 62.5217 66.3923 86.9909 11.4945 
2027 182.55 73.0198 63.8923 51.0268 61.3409 68.9507 113.401 23.7815 
2028 182.55 73.0198 63.8923 44.47 62.6353 72.7344 137.505 32.5987 
2029 182.55 73.0198 63.8923 40.5402 65.555 75.9877 146.337 35.7087 
2030 182.55 73.0198 63.8923 39.3126 66.5166 78.1133 151.412 38.0773 
2031 182.55 73.0198 63.8923 39.2556 68.3395 79.0229 152.657 39.6478 
2032 182.55 73.0198 63.8923 38.6703 68.4025 79.1493 152.076 39.2681 
2033 182.55 73.0198 63.8923 38.7395 68.9238 78.7621 148.672 37.944 
2034 182.55 73.0198 63.8923 38.5803 68.2748 78.2719 152.266 36.5821 
2035 182.55 73.0198 63.8923 38.8323 66.7693 77.1681 145.259 36.678 
