"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"33",2010,0.0782567,0.0108116,0.0316917,0.0466109,0.012481,0.00429926,0.00489569,0.00358748,0.00343237,0.0136265,0.00910423,0.00295399,0.00193803,0.00206775,0.0125295
"34",2011,0.0330908,0.0637026,0.00879877,0.0257755,0.0378512,0.010108,0.00347091,0.00394235,0.00288084,0.00275628,0.0109425,0.00731094,0.00237214,0.00155629,0.011722
"35",2012,0.0929498,0.0269369,0.051844,0.00715667,0.0209347,0.0306644,0.0081646,0.00279688,0.00316845,0.00231532,0.00221521,0.0087944,0.00587576,0.00190647,0.0106717
"36",2013,0.126962,0.0756668,0.0219245,0.0421781,0.0058159,0.0169796,0.0248148,0.00659497,0.00225465,0.00255419,0.00186645,0.00178575,0.00708945,0.00473664,0.0101397
"37",2014,0.0707686,0.10333,0.0615515,0.0178116,0.034156,0.00468324,0.0135835,0.0197464,0.00521757,0.00178376,0.00202073,0.00147663,0.00141279,0.00560878,0.0117693
"38",2015,0.0657361,0.0576008,0.0840709,0.0500293,0.0144415,0.0275728,0.00376151,0.0108653,0.0157242,0.0041548,0.00142042,0.00160913,0.00117585,0.00112501,0.0138383
"39",2016,0.0767152,0.0535144,0.0468848,0.068405,0.0406692,0.0117205,0.0223355,0.00304238,0.0087734,0.0126968,0.00335486,0.00114694,0.00129931,0.000949463,0.0120824
"40",2017,0.0473999,0.0624504,0.0435556,0.0381417,0.0555833,0.0329779,0.0094811,0.0180327,0.00245105,0.00706817,0.010229,0.0027028,0.000924017,0.00104677,0.0104989
"41",2018,0.0280387,0.0385858,0.0508278,0.0354319,0.0309893,0.0450619,0.0266679,0.00765128,0.0145199,0.00197357,0.00569125,0.00823633,0.00217628,0.000744013,0.00929653
"42",2019,0.0611048,0.0228246,0.0314035,0.0413442,0.0287814,0.0251123,0.0364142,0.0215014,0.00615369,0.0116779,0.00158728,0.0045773,0.00662423,0.00175031,0.00807531
"43",2020,0.0755979,0.049743,0.0185773,0.0255484,0.0335979,0.0233429,0.0203205,0.0294113,0.0173312,0.00496019,0.00941297,0.00127943,0.00368954,0.00533946,0.00791995
"44",2021,0.0916872,0.0615344,0.040476,0.0151038,0.0207283,0.0271595,0.0187897,0.0163005,0.0235041,0.0138503,0.00396395,0.00752242,0.00102246,0.00294851,0.0105963
"45",2022,0.0923722,0.0746382,0.0500827,0.0329273,0.0122721,0.0168063,0.0219664,0.0151665,0.0131286,0.0189304,0.0111551,0.00319259,0.0060586,0.000823498,0.0109091
