"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"14",1991,0.00015,0.00164,8e-04,0.00337,0.01088,0.00526,0.00529,0.02242,0.00423,0.00821,9e-04,5e-04,0.01259,0.00088,0.00243
"15",1992,0.00015,0.00017,0.00205,0.00104,0.0036,0.00783,0.00304,0.00263,0.00938,0.00177,0.00344,0.00038,0.00021,0.00527,0.00139
"16",1993,0.00017,0.00034,0.00043,0.00526,0.0022,0.00516,0.00907,0.00306,0.00224,0.00798,0.00151,0.00292,0.00032,0.00018,0.00566
"17",1994,5e-04,4e-04,0.00089,0.00115,0.01142,0.00319,0.00598,0.00904,0.00257,0.00188,0.00671,0.00127,0.00246,0.00027,0.00491
"18",1995,0.00011,0.001,0.00085,0.00196,0.00205,0.01344,0.00296,0.00473,0.00599,0.0017,0.00125,0.00444,0.00084,0.00163,0.00343
"19",1996,0.00016,0.00014,0.00127,0.00112,0.00211,0.00147,0.00763,0.00144,0.00191,0.00243,0.00069,0.00051,0.0018,0.00034,0.00205
"20",1997,8e-05,0.00024,0.00022,0.00211,0.00153,0.00196,0.0011,0.00496,0.00079,0.00105,0.00133,0.00038,0.00028,0.00099,0.00131
"21",1998,8e-05,0.00019,0.00061,0.00057,0.00455,0.00224,0.00231,0.00113,0.0043,0.00068,0.00091,0.00115,0.00033,0.00024,0.00199
"22",1999,0,1e-05,1e-05,4e-05,3e-05,2e-04,8e-05,7e-05,3e-05,0.00011,2e-05,2e-05,3e-05,1e-05,6e-05
"23",2000,1e-05,1e-05,1e-05,3e-05,8e-05,5e-05,0.00025,9e-05,7e-05,3e-05,1e-04,2e-05,2e-05,3e-05,6e-05
"24",2001,1e-05,1e-05,1e-05,1e-05,3e-05,8e-05,4e-05,0.00015,5e-05,4e-05,1e-05,6e-05,1e-05,1e-05,5e-05
"25",2002,0,2e-05,3e-05,3e-05,4e-05,7e-05,0.00012,5e-05,0.00018,5e-05,4e-05,2e-05,7e-05,1e-05,7e-05
"26",2003,0,1e-05,6e-05,1e-04,7e-05,8e-05,0.00011,0.00016,6e-05,0.00021,6e-05,5e-05,2e-05,8e-05,1e-04
"27",2004,0,0,1e-05,8e-05,0.00012,7e-05,6e-05,7e-05,9e-05,3e-05,0.00012,4e-05,3e-05,1e-05,1e-04
"28",2005,0,1e-05,1e-05,2e-05,0.00019,0.00022,9e-05,7e-05,7e-05,1e-04,4e-05,0.00013,4e-05,3e-05,0.00012
"29",2006,0,0,1e-05,2e-05,4e-05,0.00025,0.00022,8e-05,5e-05,6e-05,7e-05,3e-05,9e-05,3e-05,0.00011
"30",2007,2e-05,1e-05,1e-05,3e-05,5e-05,8e-05,0.00041,0.00031,1e-04,7e-05,7e-05,9e-05,3e-05,0.00012,0.00018
"31",2008,1e-05,2e-05,1e-05,1e-05,3e-05,3e-05,4e-05,2e-04,0.00013,4e-05,3e-05,3e-05,4e-05,1e-05,0.00013
