
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
174.218 69.6872 60.9763 0.128356 0.0455739 82.8099 
CV Recruit
1.34775 
Alternative 1 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 1.67 1.67 1.67 1.67 2.01684e-008 
2024  0 38.0719 40.258 42.8433 42.98 43.0924 43.6874 0.332698 
2025  0 38.0719 40.258 32.853 33.329 33.704 35.7732 1.15477 
2026  0 38.0719 40.258 25.3448 27.3967 29.0087 37.8594 4.29719 
2027  0 38.0719 40.258 20.1786 25.8089 28.6937 44.1266 8.82808 
2028  0 38.0719 40.258 16.4124 27.1628 30.6091 55.6774 13.9096 
2029  0 38.0719 40.258 13.7908 29.4164 33.1341 66.2881 17.3452 
2030  0 38.0719 40.258 12.3823 31.9675 35.1868 70.3644 19.3766 
2031  0 38.0719 40.258 12.5721 32.9206 36.3958 72.7388 20.3869 
2032  0 38.0719 40.258 12.6893 33.442 37.1226 74.1473 20.7457 
2033  0 38.0719 40.258 12.1164 34.0571 37.2627 74.0639 20.729 
2034  0 38.0719 40.258 12.2284 34.7897 37.1724 73.4558 20.1732 
2035  0 38.0719 40.258 12.4775 33.8322 36.9123 73.3548 19.8693 
2036  0 38.0719 40.258 12.4181 33.318 36.6724 73.4653 19.7804 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 78.628 78.6281 78.6282 78.6287 0.000277198 
2024 174.218 69.6872 60.9763 77.3412 77.3453 77.3505 77.3773 0.0147357 
2025 174.218 69.6872 60.9763 65.1298 65.2835 65.4753 66.4724 0.550573 
2026 174.218 69.6872 60.9763 56.2556 58.6365 61.3981 75.9451 8.13441 
2027 174.218 69.6872 60.9763 48.9735 56.9566 62.471 94.4983 17.6278 
2028 174.218 69.6872 60.9763 43.6527 58.7009 65.8166 117.705 25.302 
2029 174.218 69.6872 60.9763 40.315 61.4842 69.1726 125.204 28.5901 
2030 174.218 69.6872 60.9763 39.1805 63.5327 71.8385 131.039 31.1217 
2031 174.218 69.6872 60.9763 39.3862 64.3173 73.463 133.454 32.9725 
2032 174.218 69.6872 60.9763 39.475 65.4718 74.2218 135.243 33.1219 
2033 174.218 69.6872 60.9763 38.7721 65.9878 74.371 133.457 32.4248 
2034 174.218 69.6872 60.9763 39.2384 66.7374 74.2872 135.811 31.3965 
2035 174.218 69.6872 60.9763 39.599 65.7382 73.8092 135.881 31.3927 
2036 174.218 69.6872 60.9763 39.1279 65.0097 73.3047 133.579 31.4812 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.010329 0.0103822 0.0103737 0.0103889 2.42189e-005 
2024  0 0.305473 0.37995 0.305473 0.305473 0.305473 0.305473 4.88498e-015 
2025  0 0.305473 0.37995 0.284444 0.285153 0.286023 0.290639 0.002369 
2026  0 0.305473 0.37995 0.243497 0.254483 0.262342 0.305473 0.0194035 
2027  0 0.305473 0.37995 0.209896 0.246732 0.254327 0.305473 0.0340353 
2028  0 0.305473 0.37995 0.185345 0.25478 0.25386 0.305473 0.0441872 
2029  0 0.305473 0.37995 0.169944 0.267623 0.257031 0.305473 0.0485382 
2030  0 0.305473 0.37995 0.164709 0.277075 0.258606 0.305473 0.0529563 
2031  0 0.305473 0.37995 0.165658 0.280695 0.259383 0.305473 0.0558262 
2032  0 0.305473 0.37995 0.166068 0.286022 0.261502 0.305473 0.0540597 
2033  0 0.305473 0.37995 0.162825 0.288403 0.261491 0.305473 0.0562612 
2034  0 0.305473 0.37995 0.164976 0.291862 0.26156 0.305473 0.0562934 
2035  0 0.305473 0.37995 0.16664 0.287252 0.261049 0.305473 0.0553082 
2036  0 0.305473 0.37995 0.164466 0.28389 0.261246 0.305473 0.0532436 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 251.668 269.721 281.618 353.995 37.2882 
2025 1060.57 295.687 274.53 211.552 249.272 266.546 381.762 61.0698 
2026 1060.57 295.687 274.53 185.295 246.178 267.64 428.049 82.4053 
2027 1060.57 295.687 274.53 168.842 252.067 277.143 466.275 101.577 
2028 1060.57 295.687 274.53 158.207 262.278 288.346 501.828 117.016 
2029 1060.57 295.687 274.53 157.286 269.619 297.542 532.043 124.631 
2030 1060.57 295.687 274.53 154.869 277.442 303.216 530.922 128.115 
2031 1060.57 295.687 274.53 153.986 278.647 306.314 532.366 127.862 
2032 1060.57 295.687 274.53 152.958 281.728 306.434 548.192 126.121 
2033 1060.57 295.687 274.53 154.273 280.596 305.575 550.189 124.62 
2034 1060.57 295.687 274.53 156.074 279.14 304.745 542.723 122.477 
2035 1060.57 295.687 274.53 157.453 279.977 303.924 538.228 122.098 
2036 1060.57 295.687 274.53 159.958 281.508 304.142 529.157 122.033 
Alternative 2 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 1.67 1.67 1.67 1.67 2.01684e-008 
2024  0 38.0719 40.258 42.8433 42.98 43.0924 43.6874 0.332698 
2025  0 38.0719 40.258 32.853 33.329 33.704 35.7732 1.15477 
2026  0 38.0719 40.258 25.3448 27.3967 29.0087 37.8594 4.29719 
2027  0 38.0719 40.258 20.1786 25.8089 28.6937 44.1266 8.82808 
2028  0 38.0719 40.258 16.4124 27.1628 30.6091 55.6774 13.9096 
2029  0 38.0719 40.258 13.7908 29.4164 33.1341 66.2881 17.3452 
2030  0 38.0719 40.258 12.3823 31.9675 35.1868 70.3644 19.3766 
2031  0 38.0719 40.258 12.5721 32.9206 36.3958 72.7388 20.3869 
2032  0 38.0719 40.258 12.6893 33.442 37.1226 74.1473 20.7457 
2033  0 38.0719 40.258 12.1164 34.0571 37.2627 74.0639 20.729 
2034  0 38.0719 40.258 12.2284 34.7897 37.1724 73.4558 20.1732 
2035  0 38.0719 40.258 12.4775 33.8322 36.9123 73.3548 19.8693 
2036  0 38.0719 40.258 12.4181 33.318 36.6724 73.4653 19.7804 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 78.628 78.6281 78.6282 78.6287 0.000277198 
2024 174.218 69.6872 60.9763 77.3412 77.3453 77.3505 77.3773 0.0147357 
2025 174.218 69.6872 60.9763 65.1298 65.2835 65.4753 66.4724 0.550573 
2026 174.218 69.6872 60.9763 56.2556 58.6365 61.3981 75.9451 8.13441 
2027 174.218 69.6872 60.9763 48.9735 56.9566 62.471 94.4983 17.6278 
2028 174.218 69.6872 60.9763 43.6527 58.7009 65.8166 117.705 25.302 
2029 174.218 69.6872 60.9763 40.315 61.4842 69.1726 125.204 28.5901 
2030 174.218 69.6872 60.9763 39.1805 63.5327 71.8385 131.039 31.1217 
2031 174.218 69.6872 60.9763 39.3862 64.3173 73.463 133.454 32.9725 
2032 174.218 69.6872 60.9763 39.475 65.4718 74.2218 135.243 33.1219 
2033 174.218 69.6872 60.9763 38.7721 65.9878 74.371 133.457 32.4248 
2034 174.218 69.6872 60.9763 39.2384 66.7374 74.2872 135.811 31.3965 
2035 174.218 69.6872 60.9763 39.599 65.7382 73.8092 135.881 31.3927 
2036 174.218 69.6872 60.9763 39.1279 65.0097 73.3047 133.579 31.4812 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.010329 0.0103822 0.0103737 0.0103889 2.42189e-005 
2024  0 0.305473 0.37995 0.305473 0.305473 0.305473 0.305473 4.88498e-015 
2025  0 0.305473 0.37995 0.284444 0.285153 0.286023 0.290639 0.002369 
2026  0 0.305473 0.37995 0.243497 0.254483 0.262342 0.305473 0.0194035 
2027  0 0.305473 0.37995 0.209896 0.246732 0.254327 0.305473 0.0340353 
2028  0 0.305473 0.37995 0.185345 0.25478 0.25386 0.305473 0.0441872 
