Stock Alt Year Catch ABC OFL SSB TotBiom
ai22 1 2023 43.4133 43.4133 52.3839 75.3276 264.173
ai22 1 2024 30.822 30.822 37.0714 62.3596 243.746
ai22 1 2025 25.1318 25.1318 30.3739 56.8031 244.866
ai22 1 2026 24.9029 24.9029 30.1564 56.908 257.01
ai22 1 2027 26.7568 26.7568 32.4423 60.1746 272.079
ai22 1 2028 29.7463 29.7463 36.0836 64.7073 286.08
ai22 1 2029 32.769 32.769 39.7544 68.6837 296.62
ai22 1 2030 35.0369 35.0369 42.5569 71.6495 302.902
ai22 1 2031 36.3665 36.3665 44.184 73.4119 306.264
ai22 1 2032 37.1261 37.1261 45.0593 74.2208 306.462
ai22 1 2033 37.274 37.274 45.2702 74.3828 305.615
ai22 1 2034 37.1724 37.1724 45.156 74.2988 304.775
ai22 1 2035 36.9293 36.9293 44.8199 73.8193 303.951
ai22 1 2036 36.675 36.675 44.4915 73.3083 304.15
ai22 2 2023 43.4133 0.0433753 52.3839 75.3276 264.173
ai22 2 2024 30.822 0.0306592 37.0714 62.3596 243.746
ai22 2 2025 25.1318 0.0246306 30.3739 56.8031 244.866
ai22 2 2026 24.9029 0.0227012 30.1564 56.908 257.01
ai22 2 2027 26.7568 0.0205857 32.4423 60.1746 272.079
ai22 2 2028 29.7463 0.0197958 36.0836 64.7073 286.08
ai22 2 2029 32.769 0.0249236 39.7544 68.6837 296.62
ai22 2 2030 35.0369 0.0347247 42.5569 71.6495 302.902
ai22 2 2031 36.3665 0.0409704 44.184 73.4119 306.264
ai22 2 2032 37.1261 0.0461319 45.0593 74.2208 306.462
ai22 2 2033 37.274 0.0496222 45.2702 74.3828 305.615
ai22 2 2034 37.1724 0.0511555 45.156 74.2988 304.775
ai22 2 2035 36.9293 0.0498289 44.8199 73.8193 303.951
ai22 2 2036 36.675 0.0470344 44.4915 73.3083 304.15
ai22 3 2023 4.19937 43.4133 52.3839 78.4465 264.173
ai22 3 2024 4.10116 42.5502 51.3909 79.4592 279.323
ai22 3 2025 4.1734 43.4747 52.5617 81.7248 300.401
ai22 3 2026 4.43797 46.3161 56.0236 86.7008 324.724
ai22 3 2027 4.81583 50.3165 60.8801 94.2705 350.18
ai22 3 2028 5.28695 55.244 66.8347 103.342 374.809
ai22 3 2029 5.79405 60.4545 73.1204 112.343 397.093
ai22 3 2030 6.30575 65.6343 79.3549 120.856 415.991
ai22 3 2031 6.72987 69.9305 84.5223 128.216 431.72
ai22 3 2032 7.06373 73.3122 88.5858 134.082 442.979
ai22 3 2033 7.31402 75.8334 91.6116 138.644 451.664
ai22 3 2034 7.49687 77.6934 93.8438 142.203 458.64
ai22 3 2035 7.62826 79.022 95.4372 144.513 463.86
ai22 3 2036 7.71897 79.9468 96.5471 146.033 468.482
ai22 4 2023 20.5473 43.4133 52.3839 77.2198 264.173
ai22 4 2024 18.4331 39.0566 47.1845 72.0991 264.488
ai22 4 2025 17.5847 36.6609 44.0203 69.7527 274.407
ai22 4 2026 17.8859 36.8388 44.3947 71.0801 289.877
ai22 4 2027 18.8622 38.5041 46.5133 75.3787 307.58
ai22 4 2028 20.3443 41.4709 50.1744 81.3156 324.964
ai22 4 2029 21.9947 45.0944 54.5801 87.1597 340.058
