
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
174.218 69.6872 60.9763 0.128356 0.0455739 82.8099 
CV Recruit
1.34775 
Alternative 1 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 43.3413 43.3728 43.4133 43.6235 0.115343 
2024  0 38.0719 40.258 30.5979 30.7211 30.822 31.3601 0.30021 
2025  0 38.0719 40.258 24.3952 24.8056 25.1318 26.9187 1.02654 
2026  0 38.0719 40.258 21.3194 23.2283 24.9029 35.1704 4.49786 
2027  0 38.0719 40.258 18.2864 23.7405 26.7568 42.7746 8.95502 
2028  0 38.0719 40.258 15.5443 26.2125 29.7463 54.9571 13.9467 
2029  0 38.0719 40.258 13.4155 29.013 32.769 65.7116 17.3628 
2030  0 38.0719 40.258 12.2261 31.8525 35.0369 70.0277 19.404 
2031  0 38.0719 40.258 12.6625 32.8802 36.3665 72.6505 20.3837 
2032  0 38.0719 40.258 12.6363 33.4307 37.1261 74.1524 20.7436 
2033  0 38.0719 40.258 12.1421 34.0713 37.274 74.073 20.7265 
2034  0 38.0719 40.258 12.2743 34.7989 37.1724 73.4564 20.1869 
2035  0 38.0719 40.258 12.5162 33.8391 36.9293 73.3536 19.8516 
2036  0 38.0719 40.258 12.4222 33.316 36.675 73.4714 19.7813 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 75.3276 75.3276 75.3276 75.3276 1.60583e-012 
2024 174.218 69.6872 60.9763 62.3517 62.3551 62.3596 62.3829 0.0127618 
2025 174.218 69.6872 60.9763 56.4583 56.6116 56.8031 57.7987 0.547936 
2026 174.218 69.6872 60.9763 51.7533 54.1472 56.908 71.3798 8.12052 
2027 174.218 69.6872 60.9763 46.6303 54.6996 60.1746 92.2277 17.5574 
2028 174.218 69.6872 60.9763 42.4725 57.7544 64.7073 116.401 25.2328 
2029 174.218 69.6872 60.9763 39.7001 61.114 68.6837 124.247 28.5556 
2030 174.218 69.6872 60.9763 38.9166 63.4096 71.6495 130.879 31.1027 
2031 174.218 69.6872 60.9763 39.5663 64.2603 73.4119 133.404 32.9579 
2032 174.218 69.6872 60.9763 39.4873 65.4585 74.2208 135.034 33.115 
2033 174.218 69.6872 60.9763 38.7817 66.0005 74.3828 133.472 32.4226 
2034 174.218 69.6872 60.9763 39.4752 66.7512 74.2988 135.832 31.3959 
2035 174.218 69.6872 60.9763 39.6083 65.7441 73.8193 135.893 31.39 
2036 174.218 69.6872 60.9763 39.1437 65.0134 73.3083 133.574 31.4825 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.305473 0.305473 0.305473 0.305473 4.88498e-015 
2024  0 0.305473 0.37995 0.271625 0.271641 0.271662 0.271769 5.88855e-005 
2025  0 0.305473 0.37995 0.244432 0.24514 0.246023 0.250617 0.00252828 
2026  0 0.305473 0.37995 0.222722 0.233769 0.243173 0.305473 0.0231873 
2027  0 0.305473 0.37995 0.199084 0.236317 0.245749 0.305473 0.0371477 
2028  0 0.305473 0.37995 0.179899 0.250413 0.250289 0.305473 0.0460359 
2029  0 0.305473 0.37995 0.167107 0.265915 0.255523 0.305473 0.0499695 
2030  0 0.305473 0.37995 0.163491 0.276507 0.257827 0.305473 0.0542804 
2031  0 0.305473 0.37995 0.166489 0.280432 0.259276 0.305473 0.0558734 
2032  0 0.305473 0.37995 0.166125 0.285961 0.261506 0.305473 0.0540514 
2033  0 0.305473 0.37995 0.162869 0.288462 0.26153 0.305473 0.0562279 
2034  0 0.305473 0.37995 0.166069 0.291926 0.261448 0.305473 0.0567499 
2035  0 0.305473 0.37995 0.166683 0.287279 0.26122 0.305473 0.0547823 
2036  0 0.305473 0.37995 0.164539 0.283907 0.261251 0.305473 0.0532426 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 213.875 231.85 243.746 315.968 37.1775 
2025 1060.57 295.687 274.53 189.953 227.647 244.866 359.664 60.955 
2026 1060.57 295.687 274.53 174.595 235.536 257.01 417.549 82.4521 
2027 1060.57 295.687 274.53 163.662 247.206 272.079 459.895 101.562 
2028 1060.57 295.687 274.53 155.83 260.161 286.08 499.116 116.971 
2029 1060.57 295.687 274.53 156.178 268.409 296.62 531.714 124.61 
2030 1060.57 295.687 274.53 154.821 276.938 302.902 530.758 128.103 
2031 1060.57 295.687 274.53 153.778 278.634 306.264 532.127 127.845 
2032 1060.57 295.687 274.53 153.055 281.249 306.462 547.743 126.112 
2033 1060.57 295.687 274.53 154.347 280.426 305.615 550.277 124.616 
2034 1060.57 295.687 274.53 156.123 279.176 304.775 542.794 122.476 
2035 1060.57 295.687 274.53 157.473 279.983 303.951 538.245 122.089 
2036 1060.57 295.687 274.53 159.97 281.52 304.15 529.169 122.036 
Alternative 2 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 43.3413 43.3728 43.4133 43.6235 0.115343 
2024  0 38.0719 40.258 30.5979 30.7211 30.822 31.3601 0.30021 
2025  0 38.0719 40.258 24.3952 24.8056 25.1318 26.9187 1.02654 
2026  0 38.0719 40.258 21.3194 23.2283 24.9029 35.1704 4.49786 
2027  0 38.0719 40.258 18.2864 23.7405 26.7568 42.7746 8.95502 
2028  0 38.0719 40.258 15.5443 26.2125 29.7463 54.9571 13.9467 
2029  0 38.0719 40.258 13.4155 29.013 32.769 65.7116 17.3628 
2030  0 38.0719 40.258 12.2261 31.8525 35.0369 70.0277 19.404 
2031  0 38.0719 40.258 12.6625 32.8802 36.3665 72.6505 20.3837 
2032  0 38.0719 40.258 12.6363 33.4307 37.1261 74.1524 20.7436 
2033  0 38.0719 40.258 12.1421 34.0713 37.274 74.073 20.7265 
2034  0 38.0719 40.258 12.2743 34.7989 37.1724 73.4564 20.1869 
2035  0 38.0719 40.258 12.5162 33.8391 36.9293 73.3536 19.8516 
2036  0 38.0719 40.258 12.4222 33.316 36.675 73.4714 19.7813 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 75.3276 75.3276 75.3276 75.3276 1.60583e-012 
2024 174.218 69.6872 60.9763 62.3517 62.3551 62.3596 62.3829 0.0127618 
2025 174.218 69.6872 60.9763 56.4583 56.6116 56.8031 57.7987 0.547936 
2026 174.218 69.6872 60.9763 51.7533 54.1472 56.908 71.3798 8.12052 
2027 174.218 69.6872 60.9763 46.6303 54.6996 60.1746 92.2277 17.5574 
2028 174.218 69.6872 60.9763 42.4725 57.7544 64.7073 116.401 25.2328 
2029 174.218 69.6872 60.9763 39.7001 61.114 68.6837 124.247 28.5556 
2030 174.218 69.6872 60.9763 38.9166 63.4096 71.6495 130.879 31.1027 
2031 174.218 69.6872 60.9763 39.5663 64.2603 73.4119 133.404 32.9579 
2032 174.218 69.6872 60.9763 39.4873 65.4585 74.2208 135.034 33.115 
2033 174.218 69.6872 60.9763 38.7817 66.0005 74.3828 133.472 32.4226 
2034 174.218 69.6872 60.9763 39.4752 66.7512 74.2988 135.832 31.3959 
2035 174.218 69.6872 60.9763 39.6083 65.7441 73.8193 135.893 31.39 
2036 174.218 69.6872 60.9763 39.1437 65.0134 73.3083 133.574 31.4825 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.305473 0.305473 0.305473 0.305473 4.88498e-015 
2024  0 0.305473 0.37995 0.271625 0.271641 0.271662 0.271769 5.88855e-005 
2025  0 0.305473 0.37995 0.244432 0.24514 0.246023 0.250617 0.00252828 
2026  0 0.305473 0.37995 0.222722 0.233769 0.243173 0.305473 0.0231873 
2027  0 0.305473 0.37995 0.199084 0.236317 0.245749 0.305473 0.0371477 
2028  0 0.305473 0.37995 0.179899 0.250413 0.250289 0.305473 0.0460359 
2029  0 0.305473 0.37995 0.167107 0.265915 0.255523 0.305473 0.0499695 
2030  0 0.305473 0.37995 0.163491 0.276507 0.257827 0.305473 0.0542804 
2031  0 0.305473 0.37995 0.166489 0.280432 0.259276 0.305473 0.0558734 
2032  0 0.305473 0.37995 0.166125 0.285961 0.261506 0.305473 0.0540514 
2033  0 0.305473 0.37995 0.162869 0.288462 0.26153 0.305473 0.0562279 
2034  0 0.305473 0.37995 0.166069 0.291926 0.261448 0.305473 0.0567499 
2035  0 0.305473 0.37995 0.166683 0.287279 0.26122 0.305473 0.0547823 
2036  0 0.305473 0.37995 0.164539 0.283907 0.261251 0.305473 0.0532426 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 213.875 231.85 243.746 315.968 37.1775 
2025 1060.57 295.687 274.53 189.953 227.647 244.866 359.664 60.955 
2026 1060.57 295.687 274.53 174.595 235.536 257.01 417.549 82.4521 
2027 1060.57 295.687 274.53 163.662 247.206 272.079 459.895 101.562 
2028 1060.57 295.687 274.53 155.83 260.161 286.08 499.116 116.971 
2029 1060.57 295.687 274.53 156.178 268.409 296.62 531.714 124.61 
2030 1060.57 295.687 274.53 154.821 276.938 302.902 530.758 128.103 
2031 1060.57 295.687 274.53 153.778 278.634 306.264 532.127 127.845 
2032 1060.57 295.687 274.53 153.055 281.249 306.462 547.743 126.112 
2033 1060.57 295.687 274.53 154.347 280.426 305.615 550.277 124.616 
2034 1060.57 295.687 274.53 156.123 279.176 304.775 542.794 122.476 
2035 1060.57 295.687 274.53 157.473 279.983 303.951 538.245 122.089 
2036 1060.57 295.687 274.53 159.97 281.52 304.15 529.169 122.036 
Alternative 3 Alternative  Stock: ai22
Catch ai22
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 38.0719 40.258 3 3 3 3 3.95239e-014 
2023  0 38.0719 40.258 4.19316 4.19588 4.19937 4.21747 0.0099351 
2024  0 38.0719 40.258 4.07972 4.09148 4.10116 4.15239 0.0286446 
2025  0 38.0719 40.258 4.1091 4.14765 4.1734 4.31987 0.0833928 
2026  0 38.0719 40.258 4.24592 4.3583 4.43797 4.87955 0.251672 
2027  0 38.0719 40.258 4.29967 4.61633 4.81583 5.95239 0.65462 
2028  0 38.0719 40.258 4.20187 4.9033 5.28695 7.66724 1.28568 
2029  0 38.0719 40.258 4.01719 5.29245 5.79405 9.59317 1.90469 
2030  0 38.0719 40.258 3.81061 5.68694 6.30575 10.7964 2.4206 
2031  0 38.0719 40.258 3.72404 6.09136 6.72987 11.6891 2.70886 
2032  0 38.0719 40.258 3.75888 6.43732 7.06373 12.4824 2.917 
2033  0 38.0719 40.258 3.83227 6.64729 7.31402 12.7329 3.05231 
2034  0 38.0719 40.258 3.75807 6.87453 7.49687 13.0105 3.0753 
2035  0 38.0719 40.258 3.83855 7.08332 7.62826 13.3227 3.06703 
2036  0 38.0719 40.258 3.87182 7.18696 7.71897 13.3281 3.04826 

Spawning_Biomass ai22
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 174.218 69.6872 60.9763 79.8069 79.8069 79.8069 79.8069 1.7053e-012 
2023 174.218 69.6872 60.9763 78.4465 78.4465 78.4465 78.4465 9.52127e-013 
2024 174.218 69.6872 60.9763 79.4509 79.4545 79.4592 79.4835 0.0133232 
2025 174.218 69.6872 60.9763 81.3622 81.5236 81.7248 82.7716 0.576196 
2026 174.218 69.6872 60.9763 81.17 83.7351 86.7008 102.308 8.65292 
2027 174.218 69.6872 60.9763 78.6044 87.8162 94.2705 130.847 20.0484 
2028 174.218 69.6872 60.9763 75.4521 94.4703 103.342 164.49 31.4376 
2029 174.218 69.6872 60.9763 72.8573 102.352 112.343 187.271 38.661 
2030 174.218 69.6872 60.9763 71.4701 109.897 120.856 203.146 45.0868 
2031 174.218 69.6872 60.9763 70.5504 117.391 128.216 223.973 50.8341 
2032 174.218 69.6872 60.9763 73.0903 122.442 134.082 231.667 54.1316 
2033 174.218 69.6872 60.9763 72.6092 128.309 138.644 235.73 55.7782 
2034 174.218 69.6872 60.9763 72.4213 131.738 142.203 242.889 56.1935 
2035 174.218 69.6872 60.9763 72.4435 135.095 144.513 247.309 56.6581 
2036 174.218 69.6872 60.9763 73.339 136.542 146.033 251.534 56.833 

Fishing_mortalityai22
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.305473 0.37995 0.018114 0.018114 0.018114 0.018114 1.04083e-017 
2023  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2024  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2025  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2026  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2027  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2028  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2029  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2030  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2031  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2032  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2033  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2034  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2035  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 
2036  0 0.305473 0.37995 0.0262659 0.0262659 0.0262659 0.0262659 4.61436e-016 

Total_Biomassai22
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 1060.57 295.687 274.53 253.922 253.922 253.922 253.922 4.49063e-012 
2023 1060.57 295.687 274.53 251.941 257.294 264.173 299.847 19.5783 
2024 1060.57 295.687 274.53 249.379 267.425 279.323 351.687 37.2793 
2025 1060.57 295.687 274.53 245.111 282.961 300.401 416.724 61.4646 
2026 1060.57 295.687 274.53 241.047 302.894 324.724 487.597 84.1152 
2027 1060.57 295.687 274.53 236.423 324.352 350.18 547.994 107 
2028 1060.57 295.687 274.53 234.06 343.123 374.809 613.775 129.173 
2029 1060.57 295.687 274.53 232.56 368.799 397.093 664.958 144.973 
2030 1060.57 295.687 274.53 233.588 388.755 415.991 690.104 156.144 
2031 1060.57 295.687 274.53 234.073 401.725 431.72 708.19 162.551 
2032 1060.57 295.687 274.53 235.258 412.318 442.979 731.945 166.378 
2033 1060.57 295.687 274.53 233.96 423.831 451.664 765.034 168.22 
