"FMP_SUBAREA","YEAR","TRIP_TARGET_CODE","SUM_WEIGHT_POSTED","AGENCY_SPECIES_CODE","SPECIES_GROUP_CODE"
"AI","2020","B",0.13194,"160","SCLP"
"AI","2020","P",416.1714530672,"270","PLCK"
"AI","2020","B",0.003315375,"152","SRKR"
"AI","2020","B",7.4934895302,"121","ARTH"
"AI","2020","B",0.13979,"700","USKT"
"AI","2022","B",216.73364,"270","PLCK"
"AI","2022","B",0.08808,"152","SRKR"
"AI","2022","B",0.0792,"124","FLO5"
"AI","2019","B",70.1979551812,"270","PLCK"
"AI","2020","B",0.0566990462,"129","FLO5"
"AI","2020","B",0.1632932532,"110","PCOD"
"AI","2020","P",5.5492490544,"141","POPA"
"AI","2019","B",42.0253330804,"141","POPA"
"AI","2020","P",0.1918695725,"110","PCOD"
"AI","2020","B",0.02185995,"151","REYE"
"AI","2022","B",8.45252,"700","USKT"
"AI","2022","B",133.26897,"117","KMKA"
"AI","2022","B",0.85775,"692","USRK"
"AI","2022","B",0.20076,"172","ROCK"
"AI","2020","B",0.39991,"285","SCLP"
"AI","2020","B",0.0049895161,"870","OCTP"
"AI","2022","B",37.52242,"121","ARTH"
"AI","2022","B",0.24331,"136","NORK"
"AI","2020","B",295.3659583516,"270","PLCK"
"AI","2020","P",0.0022679618,"129","FLO5"
"AI","2022","B",32.01097,"710","SABL"
"AI","2022","B",6.77153,"134","GTRB"
"AI","2022","B",22.46684,"141","POPA"
"AI","2022","B",0.91143,"110","PCOD"
"AI","2022","B",0.00712,"125","FLO5"
"AI","2020","B",3.5054,"117","KMKA"
"AI","2020","B",72.1939123579,"141","POPA"
"AI","2020","P",0.0403697209,"121","ARTH"
"AI","2022","B",1.75878,"151","REYE"
"AI","2022","B",44.9055,"193","AMCK"
"AI","2020","B",4.41858,"710","SABL"
"AI","2020","P",0.0476271988,"870","OCTP"
"AI","2022","B",0.21741,"143","ROCK"
"AI","2022","B",0.04259,"123","RSOL"
