"SPECIES_CODE","REGION","LENGTH","WEIGHT","CRUISE"
21720,"AI",980,11830,202201
21720,"AI",710,3905,202201
21720,"AI",390,680,202201
21720,"AI",650,3450,202201
21720,"AI",580,2295,202201
21720,"AI",650,3060,202201
21720,"AI",470,1250,202201
21720,"AI",520,1740,202201
21720,"AI",390,590,202201
21720,"AI",420,725,202201
21720,"AI",360,470,202201
21720,"AI",550,1645,202201
21720,"AI",430,885,202201
21720,"AI",470,1030,202201
21720,"AI",480,1280,202201
21720,"AI",420,730,202201
21720,"AI",450,974,202201
21720,"AI",440,994,202201
21720,"AI",510,1502,202201
21720,"AI",580,2025,202201
21720,"AI",650,2790,202201
21720,"AI",480,1095,202201
21720,"AI",670,3620,202201
21720,"AI",440,1025,202201
21720,"AI",510,1395,202201
21720,"AI",620,2900,202201
21720,"AI",710,4205,202201
21720,"AI",430,910,202201
21720,"AI",580,2266,202201
21720,"AI",710,4430,202201
21720,"AI",680,3716,202201
21720,"AI",600,2375,202201
21720,"AI",760,5600,202201
21720,"AI",720,4130,202201
21720,"AI",670,3350,202201
21720,"AI",780,6105,202201
21720,"AI",610,2590,202201
21720,"AI",1010,11200,202201
21720,"AI",630,2776,202201
21720,"AI",480,1130,202201
21720,"AI",540,1665,202201
21720,"AI",380,600,202201
21720,"AI",700,3695,202201
21720,"AI",770,5290,202201
21720,"AI",780,5460,202201
21720,"AI",440,902,202201
21720,"AI",580,2058,202201
21720,"AI",600,2252,202201
21720,"AI",610,2115,202201
21720,"AI",530,1322,202201
21720,"AI",610,2066,202201
21720,"AI",480,1324,202201
21720,"AI",510,1360,202201
21720,"AI",630,2652,202201
21720,"AI",740,5085,202201
21720,"AI",550,1800,202201
21720,"AI",650,2940,202201
21720,"AI",590,1880,202201
21720,"AI",620,2715,202201
21720,"AI",650,2700,202201
21720,"AI",660,2895,202201
21720,"AI",810,6295,202201
21720,"AI",870,8710,202201
21720,"AI",790,6250,202201
21720,"AI",730,3616,202201
21720,"AI",710,3774,202201
21720,"AI",720,4195,202201
21720,"AI",630,3035,202201
21720,"AI",510,1065,202201
21720,"AI",670,3175,202201
21720,"AI",730,4590,202201
21720,"AI",680,3300,202201
21720,"AI",720,4420,202201
21720,"AI",560,2105,202201
21720,"AI",660,2880,202201
21720,"AI",710,3475,202201
21720,"AI",540,1754,202201
21720,"AI",560,1958,202201
21720,"AI",610,2386,202201
21720,"AI",570,2275,202201
21720,"AI",700,3745,202201
21720,"AI",750,5110,202201
21720,"AI",820,6225,202201
21720,"AI",820,6750,202201
21720,"AI",760,4525,202201
21720,"AI",560,1965,202201
21720,"AI",740,4285,202201
21720,"AI",700,3955,202201
21720,"AI",480,1300,202201
21720,"AI",730,3825,202201
21720,"AI",720,4640,202201
21720,"AI",770,5705,202201
21720,"AI",650,3258,202201
21720,"AI",540,1630,202201
21720,"AI",460,1010,202201
21720,"AI",730,3764,202201
21720,"AI",650,2904,202201
21720,"AI",620,2616,202201
21720,"AI",670,2700,202201
21720,"AI",640,3136,202201
21720,"AI",690,3635,202201
21720,"AI",590,1915,202201
21720,"AI",670,3360,202201
21720,"AI",450,945,202201
21720,"AI",540,1710,202201
21720,"AI",860,7855,202201
21720,"AI",680,3350,202201
21720,"AI",520,1550,202201
21720,"AI",570,2055,202201
21720,"AI",660,3010,202201
21720,"AI",500,1418,202201
21720,"AI",670,3538,202201
21720,"AI",540,1650,202201
21720,"AI",750,5300,202201
21720,"AI",540,1695,202201
21720,"AI",760,5240,202201
21720,"AI",780,5440,202201
21720,"AI",720,4310,202201
21720,"AI",780,5875,202201
21720,"AI",560,2100,202201
21720,"AI",510,1460,202201
21720,"AI",580,2180,202201
21720,"AI",540,1790,202201
21720,"AI",550,1900,202201
21720,"AI",520,1520,202201
21720,"AI",540,1600,202201
21720,"AI",540,1670,202201
21720,"AI",530,1625,202201
21720,"AI",480,1245,202201
21720,"AI",620,2440,202201
21720,"AI",510,1395,202201
21720,"AI",510,1370,202201
21720,"AI",670,2870,202201
21720,"AI",630,3075,202201
21720,"AI",610,2090,202201
21720,"AI",670,3166,202201
21720,"AI",470,1082,202201
21720,"AI",610,2460,202201
21720,"AI",520,1496,202201
21720,"AI",360,466,202201
21720,"AI",440,950,202201
21720,"AI",530,1542,202201
21720,"AI",410,768,202201
21720,"AI",300,268,202201
21720,"AI",560,1802,202201
21720,"AI",510,1560,202201
21720,"AI",520,1478,202201
21720,"AI",680,2894,202201
21720,"AI",690,3768,202201
21720,"AI",680,3220,202201
21720,"AI",920,9810,202201
21720,"AI",600,2170,202201
21720,"AI",830,6475,202201
21720,"AI",520,1490,202201
21720,"AI",570,2048,202201
21720,"AI",520,1626,202201
21720,"AI",990,11345,202201
21720,"AI",580,2198,202201
21720,"AI",900,9450,202201
21720,"AI",620,2115,202201
21720,"AI",730,4875,202201
21720,"AI",800,6235,202201
21720,"AI",460,1050,202201
21720,"AI",560,1982,202201
21720,"AI",540,1720,202201
21720,"AI",620,2550,202201
21720,"AI",450,984,202201
21720,"AI",610,2760,202201
21720,"AI",550,1730,202201
21720,"AI",510,1434,202201
21720,"AI",530,1520,202201
21720,"AI",400,660,202201
21720,"AI",420,790,202201
21720,"AI",490,1168,202201
21720,"AI",450,966,202201
21720,"AI",490,1246,202201
21720,"AI",540,1726,202201
21720,"AI",550,1792,202201
21720,"AI",650,2974,202201
21720,"AI",470,1108,202201
21720,"AI",480,1186,202201
21720,"AI",370,528,202201
21720,"AI",520,1520,202201
21720,"AI",510,1440,202201
21720,"AI",520,1392,202201
21720,"AI",980,12130,202201
21720,"AI",510,1476,202201
21720,"AI",550,1890,202201
21720,"AI",510,1348,202201
21720,"AI",390,604,202201
21720,"AI",510,1508,202201
21720,"AI",500,1404,202201
21720,"AI",510,1390,202201
21720,"AI",390,634,202201
21720,"AI",480,1240,202201
21720,"AI",510,1470,202201
21720,"AI",460,1130,202201
21720,"AI",480,1272,202201
21720,"AI",670,3626,202201
21720,"AI",580,2082,202201
21720,"AI",480,1300,202201
21720,"AI",560,2162,202201
21720,"AI",520,1540,202201
21720,"AI",520,1555,202201
21720,"AI",540,1470,202201
21720,"AI",670,2958,202201
21720,"AI",540,1756,202201
21720,"AI",630,3072,202201
21720,"AI",470,1200,202201
21720,"AI",390,662,202201
21720,"AI",610,2554,202201
21720,"AI",610,2704,202201
21720,"AI",930,11240,202201
21720,"AI",560,2004,202201
21720,"AI",410,740,202201
21720,"AI",490,1194,202201
21720,"AI",410,798,202201
21720,"AI",690,4148,202201
21720,"AI",780,5280,202201
21720,"AI",550,2030,202201
21720,"AI",860,7545,202201
21720,"AI",810,6730,202201
21720,"AI",640,3224,202201
21720,"AI",720,3940,202201
21720,"AI",750,5172,202201
21720,"AI",590,2500,202201
21720,"AI",990,9590,202201
21720,"AI",720,4155,202201
21720,"AI",650,3030,202201
21720,"AI",810,7890,202201
21720,"AI",720,4000,202201
21720,"AI",970,13180,202201
21720,"AI",190,60,202201
21720,"AI",700,4626,202201
21720,"AI",750,4550,202201
21720,"AI",770,5845,202201
21720,"AI",150,32,202201
21720,"AI",170,38,202201
21720,"AI",680,3272,202201
21720,"AI",650,3090,202201
21720,"AI",450,1010,202201
21720,"AI",560,1948,202201
21720,"AI",450,934,202201
21720,"AI",450,954,202201
21720,"AI",390,625,202201
21720,"AI",540,1666,202201
21720,"AI",550,1694,202201
21720,"AI",570,1702,202201
21720,"AI",750,4875,202201
21720,"AI",790,5615,202201
21720,"AI",580,2060,202201
21720,"AI",630,2730,202201
21720,"AI",960,11960,202201
21720,"AI",640,2816,202201
21720,"AI",780,5645,202201
21720,"AI",650,3615,202201
21720,"AI",720,4495,202201
21720,"AI",760,5490,202201
21720,"AI",690,4170,202201
21720,"AI",480,1170,202201
21720,"AI",860,8050,202201
21720,"AI",820,7115,202201
21720,"AI",460,1188,202201
21720,"AI",610,2770,202201
21720,"AI",430,866,202201
21720,"AI",430,866,202201
21720,"AI",780,5015,202201
21720,"AI",780,4925,202201
21720,"AI",590,2102,202201
21720,"AI",540,1822,202201
21720,"AI",540,1700,202201
21720,"AI",850,9095,202201
21720,"AI",590,2066,202201
21720,"AI",580,1968,202201
21720,"AI",510,1316,202201
21720,"AI",640,3050,202201
21720,"AI",500,1482,202201
21720,"AI",510,1328,202201
21720,"AI",520,1492,202201
21720,"AI",520,1650,202201
21720,"AI",520,1482,202201
21720,"AI",550,1846,202201
21720,"AI",490,1272,202201
21720,"AI",450,918,202201
21720,"AI",500,1324,202201
21720,"AI",760,5615,202201
21720,"AI",780,6270,202201
21720,"AI",480,1140,202201
21720,"AI",870,8795,202201
21720,"AI",560,1836,202201
21720,"AI",510,1650,202201
21720,"AI",460,1058,202201
21720,"AI",580,2230,202201
21720,"AI",820,7045,202201
21720,"AI",550,1770,202201
21720,"AI",550,1640,202201
21720,"AI",570,1868,202201
21720,"AI",640,2626,202201
21720,"AI",650,2520,202201
21720,"AI",250,136,202201
21720,"AI",230,116,202201
21720,"AI",240,128,202201
21720,"AI",460,968,202201
21720,"AI",470,1072,202201
21720,"AI",500,1258,202201
21720,"AI",190,60,202201
21720,"AI",460,1030,202201
21720,"AI",550,1950,202201
21720,"AI",560,1686,202201
21720,"AI",240,128,202201
21720,"AI",240,142,202201
21720,"AI",420,768,202201
21720,"AI",510,1450,202201
21720,"AI",510,1442,202201
21720,"AI",670,3580,202201
21720,"AI",500,1295,202201
21720,"AI",510,1455,202201
21720,"AI",490,1190,202201
21720,"AI",620,2750,202201
21720,"AI",800,6610,202201
21720,"AI",720,4600,202201
21720,"AI",940,12510,202201
21720,"AI",860,8340,202201
21720,"AI",840,6850,202201
21720,"AI",680,3830,202201
21720,"AI",790,5595,202201
21720,"AI",770,6845,202201
21720,"AI",580,1812,202201
21720,"AI",420,734,202201
21720,"AI",550,1370,202201
21720,"AI",490,1394,202201
21720,"AI",460,878,202201
21720,"AI",450,926,202201
21720,"AI",460,1012,202201
21720,"AI",230,106,202201
21720,"AI",240,138,202201
21720,"AI",200,82,202201
21720,"AI",500,1465,202201
21720,"AI",550,1885,202201
21720,"AI",510,1350,202201
21720,"AI",320,325,202201
21720,"AI",190,60,202201
21720,"AI",400,700,202201
21720,"AI",490,1270,202201
21720,"AI",500,1350,202201
21720,"AI",430,810,202201
21720,"AI",480,1040,202201
