"CRUISE","REGION","AGE","SPECIES_CODE","LENGTH","WEIGHT"
201801,"AI",6,21740,500,825
201801,"AI",6,21740,500,830
201801,"AI",6,21740,500,832
201801,"AI",6,21740,500,850
201801,"AI",6,21740,500,852
201801,"AI",6,21740,500,880
201801,"AI",6,21740,500,888
201801,"AI",6,21740,500,892
201801,"AI",6,21740,500,905
201801,"AI",6,21740,500,915
201801,"AI",6,21740,500,925
201801,"AI",6,21740,500,935
201801,"AI",6,21740,500,950
201801,"AI",6,21740,500,952
201801,"AI",6,21740,500,954
201801,"AI",6,21740,500,956
201801,"AI",6,21740,500,960
201801,"AI",6,21740,500,964
201801,"AI",6,21740,500,992
201801,"AI",6,21740,500,1000
201801,"AI",6,21740,500,1016
201801,"AI",6,21740,500,1025
201801,"AI",6,21740,500,1035
201801,"AI",6,21740,500,1040
201801,"AI",6,21740,500,1066
201801,"AI",6,21740,500,1132
201801,"AI",6,21740,500,1138
201801,"AI",6,21740,510,840
201801,"AI",6,21740,510,880
201801,"AI",6,21740,510,905
201801,"AI",6,21740,510,942
201801,"AI",6,21740,510,944
201801,"AI",6,21740,510,954
201801,"AI",6,21740,510,962
201801,"AI",6,21740,510,980
201801,"AI",6,21740,510,988
201801,"AI",6,21740,510,995
201801,"AI",6,21740,510,1014
201801,"AI",6,21740,510,1015
201801,"AI",6,21740,510,1025
201801,"AI",6,21740,510,1030
201801,"AI",6,21740,510,1035
201801,"AI",6,21740,510,1045
201801,"AI",6,21740,510,1056
201801,"AI",6,21740,510,1065
201801,"AI",6,21740,510,1094
201801,"AI",6,21740,510,1100
201801,"AI",6,21740,510,1112
201801,"AI",6,21740,510,1140
201801,"AI",6,21740,510,1145
201801,"AI",6,21740,510,1156
201801,"AI",6,21740,520,865
201801,"AI",6,21740,520,880
201801,"AI",6,21740,520,930
201801,"AI",6,21740,520,968
201801,"AI",6,21740,520,994
201801,"AI",6,21740,520,1020
201801,"AI",6,21740,520,1030
201801,"AI",6,21740,520,1034
201801,"AI",6,21740,520,1035
201801,"AI",6,21740,520,1050
201801,"AI",6,21740,520,1065
201801,"AI",6,21740,520,1118
201801,"AI",6,21740,520,1122
201801,"AI",6,21740,520,1130
201801,"AI",6,21740,520,1154
201801,"AI",6,21740,520,1158
201801,"AI",6,21740,520,1225
201801,"AI",6,21740,530,890
201801,"AI",6,21740,530,990
201801,"AI",6,21740,530,994
201801,"AI",6,21740,530,1015
201801,"AI",6,21740,530,1025
201801,"AI",6,21740,530,1075
201801,"AI",6,21740,530,1145
201801,"AI",6,21740,530,1194
201801,"AI",6,21740,530,1208
201801,"AI",6,21740,530,1220
201801,"AI",6,21740,530,1280
201801,"AI",6,21740,530,1415
201801,"AI",6,21740,540,1032
201801,"AI",6,21740,540,1050
201801,"AI",6,21740,540,1146
201801,"AI",6,21740,540,1185
201801,"AI",6,21740,540,1335
201801,"AI",6,21740,550,1150
201801,"AI",6,21740,550,1165
201801,"AI",6,21740,550,1566
201801,"AI",6,21740,560,995
