YEAR,GEAR,TONS
1978,TRAWL,6283
1979,TRAWL,9446
1980,TRAWL,58157
1981,TRAWL,31258
1982,TRAWL,50322
1983,TRAWL,44442
1984,TRAWL,42901
1985,TRAWL,47070
1986,TRAWL,23810
1987,TRAWL,26257
1988,TRAWL,36864
1989,TRAWL,10569
1990,TRAWL,79025
